Metric,Module,Value
average,GridMask...,8780.95397906629
average,img_backbone...,15916.257351719554
average,img_neck...,9197.920584814754
average,pts_bbox_head.get_bev_features,16758.87074264828
average,pts_bbox_head.get_detections...,13430.439109486626
average,UniADTrack.simple_test_track,96361.39043030403
average,PansegformerHead.forward_test,21122.796477820237
average,MotionHead.forward_test,15689.175444425984
average,OccHead.forward_test,14736.942515368002
average,PlanningHeadSingleMode.forward_test,29711.923243063633
average,velo_update...,8794.626671237573
max,GridMask...,19465.0
max,img_backbone...,38276.0
max,img_neck...,19779.0
max,pts_bbox_head.get_bev_features,29610.0
max,pts_bbox_head.get_detections...,29879.0
max,UniADTrack.simple_test_track,145640.0
max,PansegformerHead.forward_test,1758502.0
max,MotionHead.forward_test,30289.0
max,OccHead.forward_test,39106.0
max,PlanningHeadSingleMode.forward_test,285674.0
max,velo_update...,19643.0
min,GridMask...,6007.0
min,img_backbone...,7011.0
min,img_neck...,6691.0
min,pts_bbox_head.get_bev_features,7138.0
min,pts_bbox_head.get_detections...,6848.0
min,UniADTrack.simple_test_track,68594.0
min,PansegformerHead.forward_test,6908.0
min,MotionHead.forward_test,6976.0
min,OccHead.forward_test,6988.0
min,PlanningHeadSingleMode.forward_test,6716.0
min,velo_update...,6022.0
variance,GridMask...,1723745.6062233634
variance,img_backbone...,26298973.634490225
variance,img_neck...,4089458.078105607
variance,pts_bbox_head.get_bev_features,20602355.79452273
variance,pts_bbox_head.get_detections...,24384594.28122859
variance,UniADTrack.simple_test_track,98206011.96153021
variance,PansegformerHead.forward_test,529842542.2043346
variance,MotionHead.forward_test,25314080.11677147
variance,OccHead.forward_test,25104313.06349457
variance,PlanningHeadSingleMode.forward_test,1135535885.478986
variance,velo_update...,3289781.3493725276
std_dev,GridMask...,1312.9149272604693
std_dev,img_backbone...,5128.252493246625
std_dev,img_neck...,2022.2408556118153
std_dev,pts_bbox_head.get_bev_features,4538.981801519227
std_dev,pts_bbox_head.get_detections...,4938.075969568369
std_dev,UniADTrack.simple_test_track,9909.894649365866
std_dev,PansegformerHead.forward_test,23018.30884761812
std_dev,MotionHead.forward_test,5031.309980191189
std_dev,OccHead.forward_test,5010.420447776271
std_dev,PlanningHeadSingleMode.forward_test,33697.71335682862
std_dev,velo_update...,1813.7754407237207
