Metric,Module,Value
average,GridMask,4.588066954643629
average,img_backbone,33.91610848978235
average,img_neck,16.651846818408373
average,extract_img_feat,60.02262452234591
average,get_bev_features (frozen),14.788606246884864
average,get_bevs,79.65021066622363
average,pts_bbox_head.get_detections,18.210598770559894
average,select_active_track_query,6.378378468184083
average,memory_bank,5.807731683003821
average,generate_empty_tracks,5.844135072271142
average,query_interact,5.908713573683337
average,_forward_single_frame_inference,138.03008207343413
average,simple_test_track,143.6146801794318
average,seg_head,16.78924239906961
average,motion_head,14.394952982222962
average,occ_head,9.39733842831035
average,planning_head,18.330470842332613
average,velo_update,4.863392183750428
max,GridMask,14.074
max,img_backbone,59.257
max,img_neck,40.053
max,extract_img_feat,79.376
max,get_bev_features (frozen),38.137
max,get_bevs,111.333
max,pts_bbox_head.get_detections,34.911
max,select_active_track_query,15.763
max,memory_bank,14.489
max,generate_empty_tracks,14.376
max,query_interact,14.67
max,_forward_single_frame_inference,170.125
max,simple_test_track,175.558
max,seg_head,846.14
max,motion_head,27.108
max,occ_head,18.276
max,planning_head,117.528
max,velo_update,14.172
min,GridMask,3.335
min,img_backbone,17.121
min,img_neck,4.038
min,extract_img_feat,49.036
min,get_bev_features (frozen),2.756
min,get_bevs,62.869
min,pts_bbox_head.get_detections,3.881
min,select_active_track_query,3.528
min,memory_bank,3.061
min,generate_empty_tracks,3.493
min,query_interact,3.405
min,_forward_single_frame_inference,111.501
min,simple_test_track,115.415
min,seg_head,2.631
min,motion_head,2.939
min,occ_head,2.658
min,planning_head,3.842
min,velo_update,3.124
variance,GridMask,0.9787790515150014
variance,img_backbone,95.16037690996282
variance,img_neck,62.0950000506425
variance,extract_img_feat,27.49563059511806
variance,get_bev_features (frozen),58.501469329479086
variance,get_bevs,103.41761669040797
variance,pts_bbox_head.get_detections,84.52177889531919
variance,select_active_track_query,2.561762402766613
variance,memory_bank,3.613790420017955
variance,generate_empty_tracks,2.4230281494161257
variance,query_interact,3.189820368262052
variance,_forward_single_frame_inference,66.4207600587331
variance,simple_test_track,68.7451525841385
variance,seg_head,152.52946998227648
variance,motion_head,63.6477227845952
variance,occ_head,23.073087858029503
variance,planning_head,261.83155794045075
variance,velo_update,1.8266509972027396
std_dev,GridMask,0.9893326293593078
std_dev,img_backbone,9.755018037398127
std_dev,img_neck,7.880038074187364
std_dev,extract_img_feat,5.243627617891841
std_dev,get_bev_features (frozen),7.648625322858944
std_dev,get_bevs,10.16944524988497
std_dev,pts_bbox_head.get_detections,9.193572694840629
std_dev,select_active_track_query,1.600550656107645
std_dev,memory_bank,1.9009972172567626
std_dev,generate_empty_tracks,1.556607898417622
std_dev,query_interact,1.786006822008822
std_dev,_forward_single_frame_inference,8.149893254437943
std_dev,simple_test_track,8.29126966056095
std_dev,seg_head,12.350282182293508
std_dev,motion_head,7.977952292699876
std_dev,occ_head,4.803445415327367
std_dev,planning_head,16.18121002707927
std_dev,velo_update,1.3515365319527028
