Module,time_mean,time_max,time_min,energy_mean,energy_max,energy_min,power_mean,power_max,power_min
GridMask,0.10141751121448746,0.126,0.101,4.40607343412527,13.811,2.869,43.522146535969426,136.9,25.3
img_backbone,0.2512209669380296,0.413,0.247,33.43173400897159,56.072,17.163,132.99182588469847,226.9,65.7
img_neck,0.1090262502076757,0.139,0.108,16.45452666555906,38.461,3.937,150.87092540289086,335.6,34.3
extract_img_feat,0.5654113640139559,0.728,0.558,58.93734939358697,78.338,48.249,104.25673699950158,140.2,76.4
get_bev_features (frozen),0.16166090712742978,0.236,0.156,12.987558564545607,32.961,2.868,80.24196710417013,189.0,17.9
get_bevs,0.8297911613224788,1.011,0.818,76.60307343412526,105.834,62.545,92.32728027911611,128.2,71.8
pts_bbox_head.get_detections,0.1276064130254195,0.17,0.119,18.37160375477654,34.194,4.79,144.0368998172454,271.0,34.0
select_active_track_query,0.10447017777039376,0.152,0.102,6.276359860441935,15.711,3.199,60.05633826216979,146.1,30.5
memory_bank,0.10432081741153017,0.132,0.101,5.558995680345572,14.309,2.992,53.29152683169962,137.1,26.7
generate_empty_tracks,0.1018331948828709,0.12,0.101,5.658314005648779,14.015,3.276,55.538710749293905,138.0,32.2
query_interact,0.10503472337597608,0.132,0.102,5.548165642133244,14.398,3.222,52.79712576840007,135.6,31.1
_forward_single_frame_inference,1.6681543445755107,1.76,1.533,133.9154319654428,160.133,107.407,80.2799966771889,96.0,64.1
simple_test_track,1.772001827546104,1.867,1.636,139.36106363183254,170.355,113.075,78.64926067453065,93.5,63.6
seg_head,0.1873552085063964,11.509,0.163,16.074697125768402,604.527,2.449,85.8759594617046,168.1,13.4
motion_head,0.14224057152350889,0.188,0.129,13.74929207509553,27.042,3.265,96.76969596278452,204.8,20.3
occ_head,0.1359875394583818,0.19,0.101,8.725935039043032,17.508,2.287,64.10008307027746,140.2,13.8
planning_head,0.24669928559561394,1.76,0.107,17.20033809602924,104.488,3.344,73.57459710915434,161.7,18.6
velo_update,0.10264106959204662,0.137,0.102,4.719865101131299,13.918,3.002,45.96767226602673,136.2,26.3
