Frame,GridMask...,img_backbone...,img_neck...,pts_bbox_head.get_bev_features,pts_bbox_head.get_detections...,UniADTrack.simple_test_track,PansegformerHead.forward_test,MotionHead.forward_test,OccHead.forward_test,PlanningHeadSingleMode.forward_test,velo_update...
0,8850.0,37742.0,17760.0,18272.0,27076.0,145640.0,37431.0,27499.0,18889.0,18206.0,
1,18457.0,9207.0,8240.0,19272.0,28615.0,128771.0,37147.0,17974.0,18337.0,18682.0,7743.0
2,8191.0,17373.0,8561.0,17941.0,18570.0,107506.0,27494.0,7796.0,19273.0,7427.0,8597.0
3,7906.0,28276.0,8855.0,19399.0,18714.0,119180.0,27377.0,17132.0,18965.0,7259.0,8690.0
4,8371.0,27302.0,9016.0,18133.0,18197.0,136599.0,28029.0,18095.0,17900.0,104871.0,9171.0
5,9267.0,28268.0,7649.0,18211.0,28303.0,138243.0,28798.0,18374.0,28886.0,56840.0,7803.0
6,8725.0,28265.0,8570.0,27228.0,8955.0,118978.0,19829.0,28022.0,28823.0,56434.0,8578.0
7,7587.0,26696.0,9298.0,18932.0,18997.0,129737.0,19437.0,17678.0,19005.0,46569.0,8609.0
8,9117.0,18997.0,8196.0,17586.0,17501.0,107796.0,19262.0,18823.0,18548.0,38307.0,7676.0
9,8941.0,19065.0,8613.0,17644.0,8933.0,100741.0,29708.0,19205.0,19074.0,28312.0,7576.0
10,8024.0,19039.0,8701.0,18282.0,18919.0,109989.0,18548.0,19522.0,19175.0,18871.0,8050.0
11,8488.0,28114.0,8466.0,17761.0,18758.0,119786.0,17680.0,17707.0,19286.0,18524.0,8012.0
12,8361.0,17953.0,8955.0,18128.0,18820.0,98140.0,28325.0,18980.0,18075.0,8499.0,8555.0
13,8797.0,18383.0,9372.0,18450.0,9309.0,100801.0,19388.0,18425.0,19072.0,8664.0,8209.0
14,8120.0,17606.0,9069.0,18876.0,17876.0,108269.0,18625.0,28707.0,18374.0,9092.0,9206.0
15,8414.0,18523.0,8525.0,17790.0,19407.0,101121.0,37806.0,18696.0,19208.0,9199.0,9249.0
16,8969.0,18806.0,8824.0,29020.0,19429.0,132596.0,27519.0,18012.0,18397.0,8250.0,9824.0
17,8155.0,19919.0,8140.0,18784.0,18652.0,128632.0,29347.0,18865.0,18858.0,38414.0,8631.0
18,7871.0,7409.0,18392.0,18528.0,9000.0,88189.0,29107.0,9082.0,18211.0,38173.0,8720.0
19,9005.0,18231.0,9293.0,18574.0,19303.0,110982.0,18815.0,18526.0,28820.0,69363.0,7427.0
20,8718.0,18270.0,8867.0,17850.0,18816.0,108913.0,28217.0,8092.0,17778.0,68179.0,8324.0
21,9297.0,18535.0,8287.0,17402.0,9028.0,99595.0,29676.0,9068.0,18438.0,78028.0,8059.0
22,9670.0,18785.0,9364.0,19011.0,7559.0,100675.0,28250.0,18996.0,18424.0,58381.0,7861.0
23,8153.0,8171.0,8475.0,26797.0,18013.0,97152.0,28964.0,19290.0,9927.0,57338.0,8580.0
24,8765.0,19025.0,8804.0,28539.0,18278.0,110108.0,37377.0,18777.0,19137.0,58860.0,8923.0
