Frame,GridMask,img_backbone,img_neck,extract_img_feat,get_bev_features (frozen),get_bevs,pts_bbox_head.get_detections,select_active_track_query,memory_bank,generate_empty_tracks,query_interact,_forward_single_frame_inference,simple_test_track,seg_head,motion_head,occ_head,planning_head,velo_update
0,3.668,32.075,12.876,52.317,14.381,70.528,23.693,5.538,4.308,5.318,5.062,129.403,132.967,10.587,21.941,14.464,6.066,
1,3.838,38.195,12.102,57.992,24.176,86.134,6.805,5.746,4.635,5.545,5.22,129.016,132.478,16.085,18.75,4.039,8.746,4.248
2,4.281,21.707,20.19,49.272,12.478,65.056,17.222,5.645,4.289,5.22,4.995,116.159,127.794,24.431,4.539,12.723,7.523,3.54
3,3.66,35.625,18.88,61.863,19.453,85.049,6.287,5.351,4.196,5.362,5.052,125.422,131.071,10.539,5.268,5.417,15.608,4.056
4,4.163,21.94,20.244,50.525,10.358,63.855,22.93,4.605,5.328,4.964,4.713,118.127,122.023,21.433,3.839,3.904,18.164,3.458
5,3.744,37.931,12.565,57.998,4.556,84.486,6.074,5.381,4.746,4.101,5.369,125.815,130.911,19.712,5.454,13.905,12.658,4.037
6,4.206,22.256,20.396,51.124,10.848,65.156,15.645,5.509,4.329,3.957,3.745,111.501,115.415,10.271,20.158,4.135,18.541,3.458
7,4.211,40.539,6.213,55.205,5.937,64.326,27.444,5.722,4.633,5.635,5.322,127.79,132.123,19.598,5.761,15.104,19.188,3.498
8,3.91,44.511,5.456,57.845,6.614,68.54,28.551,11.866,5.277,4.906,4.551,129.489,132.878,18.373,6.164,12.637,18.627,4.257
9,3.509,42.226,6.087,55.375,25.177,84.17,7.569,5.836,5.255,4.93,4.613,127.051,131.198,22.076,4.756,5.208,21.64,3.778
10,3.826,36.113,18.323,62.128,20.65,86.69,9.837,6.388,3.802,5.764,5.441,132.407,136.883,17.711,8.005,14.124,4.738,4.12
11,4.202,36.65,11.676,56.768,23.616,84.749,6.555,5.476,4.575,5.773,5.49,127.003,131.92,16.845,20.013,4.756,7.509,3.385
12,3.807,38.174,12.711,58.516,4.303,89.078,5.516,5.452,4.59,5.771,5.484,131.432,137.276,17.484,10.15,13.474,6.995,4.149
13,3.932,43.976,5.89,57.686,28.417,90.109,5.595,5.86,5.26,4.925,4.628,132.464,136.938,22.041,4.126,14.915,6.7,4.196
14,4.457,22.72,20.664,51.103,13.468,68.061,22.396,6.47,5.224,4.847,4.568,126.352,131.55,11.778,24.125,4.969,7.564,3.642
15,3.895,45.767,6.16,58.712,5.88,68.091,30.084,5.985,5.187,12.981,5.909,134.395,140.05,24.52,5.284,5.714,16.667,3.715
16,3.335,17.932,30.493,55.193,5.804,64.532,31.085,6.038,13.25,5.757,5.489,132.337,137.628,23.811,4.845,4.649,13.31,3.728
17,3.893,36.282,18.522,62.583,18.338,84.924,10.605,6.296,5.43,4.553,4.174,130.57,135.051,12.328,20.955,4.67,15.311,4.291
18,3.965,25.824,20.95,54.665,13.94,72.634,11.974,5.59,4.226,5.357,13.24,133.418,137.402,24.5,5.053,5.472,21.187,4.503
19,3.558,36.913,11.214,55.282,21.367,80.411,7.397,5.8,4.968,4.549,5.731,124.398,128.845,17.656,9.876,13.505,27.014,3.959
20,3.789,19.863,24.723,52.216,12.451,68.546,17.248,5.906,4.52,5.544,5.265,121.338,132.485,4.482,24.953,4.834,35.273,4.088
21,3.936,36.409,16.093,60.406,20.546,84.989,6.561,5.636,4.727,5.907,5.548,129.407,132.807,17.469,10.051,13.651,34.186,4.247
22,3.847,43.546,5.9,57.177,4.393,65.549,24.661,6.109,5.237,4.865,4.587,125.438,129.988,18.328,9.49,13.853,33.074,4.235
23,4.181,39.491,10.487,58.282,26.705,89.203,6.088,5.564,4.789,5.85,5.504,132.537,136.236,18.643,5.6,13.002,31.263,4.509
24,3.969,25.679,21.52,55.14,14.747,73.968,13.898,5.525,4.379,5.643,5.361,130.568,134.276,11.293,22.703,4.621,41.219,4.434
25,4.525,22.014,19.113,49.036,10.971,63.663,18.332,5.663,4.303,5.329,12.839,124.474,128.599,23.428,4.923,5.52,39.142,3.843
26,10.389,30.525,16.55,61.139,18.651,83.55,13.333,6.296,4.849,5.938,5.63,133.397,137.622,11.386,22.308,5.957,34.243,3.944
27,3.898,20.101,24.679,52.575,11.003,67.559,30.538,13.776,5.114,4.376,5.635,133.406,137.924,19.93,5.345,13.273,34.668,4.217
28,3.588,23.8,21.602,52.438,11.811,67.903,21.424,5.794,4.713,5.886,5.619,125.894,130.297,12.836,21.199,4.13,34.493,3.893
29,3.634,24.047,21.613,52.828,12.006,68.536,21.045,5.582,4.327,5.602,5.26,124.356,128.79,12.361,20.491,5.736,38.813,3.995
30,3.938,38.581,13.16,59.621,4.875,87.016,6.18,5.999,5.283,4.912,3.688,129.16,133.712,17.826,6.834,14.595,34.048,4.256
31,3.765,37.96,13.307,58.884,24.974,87.737,7.061,6.225,5.671,5.277,4.929,132.545,136.894,21.681,5.734,15.146,32.372,4.016
32,3.683,42.654,6.794,56.794,7.0,67.532,28.918,5.288,5.146,4.727,5.883,132.693,136.929,18.036,10.076,13.666,36.974,3.923
33,3.961,44.129,6.11,58.138,6.932,69.13,28.892,6.252,5.652,5.326,5.118,134.932,139.534,21.404,4.558,15.84,37.18,4.295
