Frame,Module,Time (s),Energy (J),Power (W)
0,GridMask,0.101,3.644,36.0
0,img_backbone,0.413,38.791,94.0
0,img_neck,0.109,9.511,87.4
0,extract_img_feat,0.728,55.566,76.4
0,get_bev_features (frozen),0.18,13.273,73.7
0,get_bevs,1.011,72.578,71.8
0,pts_bbox_head.get_detections,0.132,13.546,102.4
0,select_active_track_query,0.106,5.571,52.6
0,memory_bank,0.107,4.175,39.0
0,generate_empty_tracks,0.102,5.29,52.0
0,query_interact,0.105,4.879,46.4
0,_forward_single_frame_inference,1.76,115.485,65.6
0,simple_test_track,1.867,118.743,63.6
0,seg_head,0.2,9.902,49.5
0,motion_head,0.159,20.98,132.0
0,occ_head,0.149,4.801,32.1
0,planning_head,0.111,13.654,123.3
1,velo_update,0.108,3.002,27.7
1,GridMask,0.101,3.575,35.4
1,img_backbone,0.254,20.054,78.9
1,img_neck,0.109,23.877,219.3
1,extract_img_feat,0.567,51.102,90.1
1,get_bev_features (frozen),0.162,9.938,61.4
1,get_bevs,0.832,64.774,77.9
1,pts_bbox_head.get_detections,0.13,17.388,133.9
1,select_active_track_query,0.104,5.819,56.1
1,memory_bank,0.104,4.426,42.7
1,generate_empty_tracks,0.105,4.038,38.4
1,query_interact,0.104,5.108,49.0
1,_forward_single_frame_inference,1.676,115.142,68.7
1,simple_test_track,1.779,119.643,67.2
1,seg_head,0.191,10.557,55.2
1,motion_head,0.143,23.528,164.4
1,occ_head,0.14,4.556,32.5
1,planning_head,0.115,7.364,64.1
2,velo_update,0.102,4.393,43.0
2,GridMask,0.105,2.869,27.3
2,img_backbone,0.25,21.876,87.5
2,img_neck,0.109,20.508,187.3
2,extract_img_feat,0.568,48.249,85.0
2,get_bev_features (frozen),0.161,13.172,81.9
2,get_bevs,0.83,64.587,77.8
2,pts_bbox_head.get_detections,0.128,20.423,160.1
2,select_active_track_query,0.106,4.376,41.1
2,memory_bank,0.104,4.829,46.6
2,generate_empty_tracks,0.102,4.508,44.3
2,query_interact,0.107,4.168,38.8
2,_forward_single_frame_inference,1.653,117.752,71.3
2,simple_test_track,1.755,122.508,69.8
2,seg_head,0.189,14.936,79.1
2,motion_head,0.139,10.386,74.6
2,occ_head,0.136,11.789,87.0
2,planning_head,0.112,6.738,59.9
3,velo_update,0.102,3.872,37.9
3,GridMask,0.101,3.308,32.8
3,img_backbone,0.251,18.742,74.8
3,img_neck,0.109,23.92,220.4
3,extract_img_feat,0.563,49.299,87.6
3,get_bev_features (frozen),0.159,10.29,64.6
3,get_bevs,0.824,63.053,76.5
3,pts_bbox_head.get_detections,0.128,18.684,146.3
3,select_active_track_query,0.106,5.532,52.1
3,memory_bank,0.104,3.842,36.9
3,generate_empty_tracks,0.102,4.885,48.0
3,query_interact,0.106,12.35,116.7
3,_forward_single_frame_inference,1.672,123.931,74.1
3,simple_test_track,1.78,129.144,72.5
